SUBJECT;VOCALS;VOCALS UNDER 50kHz;MIDDLE RANGE;SIZE RANGE;VOCALS OVER 50kHz;MIDDLE RANGE;SIZE RANGE;COMPLEX VOCALS;MIDDLE RANGE;SIZE RANGE;BOUTS;AVERAGE CALLS IN BOUT;BOUTS UNDER 50kHz;BOUTS OVER 50kHz;ISOLATED CALLS;ISOCALLS UNDER 50kHz;ISOCALLS OVER 50kHz

mum12_pup1.txt;22;22;38917.032049;3302.983132;0;0.000000;0.000000;0;0.000000;0.000000;4;3;4;0;10;10;0
mum15_pup7.txt;19;16;37249.096008;3531.677124;2;68017.501953;1902.589843;1;62404.873047;25875.191406;4;4;4;0;5;2;3
mum5_pup1.txt;62;48;38622.581706;3401.520833;10;57975.114453;5052.790625;4;48595.401367;20361.990234;17;3;14;3;19;14;5
mum5_pup2.txt;113;111;36364.350428;3867.926608;1;57028.931640;8345.699219;1;49517.804688;24851.632813;23;4;22;1;30;30;0
mum5_pup3.txt;76;62;42730.818548;4588.120590;11;61915.730114;6333.830256;3;56476.651693;29247.394531;20;3;17;3;13;8;5
mum5_pup4.txt;72;49;42046.417969;4496.457270;18;70242.952365;5615.314453;5;57678.040625;28635.014063;16;4;10;6;11;8;3
mum5_pup5.txt;233;227;39939.493728;5418.700767;4;66876.881836;2635.541016;2;53275.602539;26731.923829;35;6;33;2;17;16;1
mum8_run2_pup10.txt;7;5;44088.854297;3313.253907;2;57417.168945;11106.927734;0;0.000000;0.000000;1;2;1;0;5;3;2
mum8_run2_pup6.txt;133;124;37265.773343;4554.079480;1;62959.558593;2389.703125;8;37626.378784;8570.771729;27;4;27;0;20;20;0
mum8_run2_pup7.txt;44;27;36946.261140;6843.192998;17;67352.055951;11223.496094;0;0.000000;0.000000;7;6;4;3;2;1;1
mum8_run2_pup8.txt;104;57;43099.210218;5153.467311;46;58116.743546;6809.408288;1;37224.966797;8271.988282;21;3;14;7;31;17;14
mum8_run2_pup9.txt;89;69;44006.418450;4614.996094;17;68958.369141;5389.250230;3;58426.150729;31250.617908;18;4;11;7;18;14;4
